,Açıklamalar,Tarih,Toplam_Hasta,Gunluk_Hasta,Toplam_Vefat,Gunluk_Vefat,Toplam_iyilesen,Gunluk_iyilesen,Toplam_Test,Gunluk_Test,YBU,Entube,Ağır Hasta
1,Veri Seti,11.03.2020,1,1,,,,,940,940,,,
,COVID-19 Pandemisi Türkiye Günlük Verileri,12.03.2020,1,0,,,,,2.470,1.530,,,
2,Veri Girişi,13.03.2020,2,1,,,,,4.000,1.530,,,
,Efser Gültekin ,14.03.2020,5,3,,,,,5.000,1.000,,,
3,Veri Kontrolü,15.03.2020,18,13,,,,,6.000,1.000,,,
,Fatma Betül Osmanoğlu ,16.03.2020,47,29,,,,,7.000,1.000,,,
4,Koordinatör,17.03.2020,98,51,1,1,,,8.002,1.002,,,
,Abdullah Uçar,18.03.2020,191,93,2,1,,,10.000,1.998,,,
5,Kapsam,19.03.2020,359,168,4,2,,,11.981,1.981,,,
,"Bu veri seti, Sağlık Bakanlığı tarafından günlük açıklanan verileri içermektedir. ",20.03.2020,670,311,9,5,,,15.637,3.656,,,
6,Kaynak,21.03.2020,947,277,21,12,,,18.590,2.953,,,
,Sağlık Bakanlığı Günlük Tablo,22.03.2020,1.236,289,30,9,,,20.345,1.755,,,
7,Notlar,23.03.2020,1.529,293,37,7,,,24.017,3.672,,,
,"29 Temmuz 2020 tarihinden itibaren Sağlık Bakanlığı tarafından yayınlanan turkuvaz tabloda ""vaka"" ifadeleri ""hasta"" ifadesi ile değiştirilmiştir. ",24.03.2020,1.872,343,44,7,,,27.969,3.952,,,
,"30 Eylül 2020 Sağlık Bakanlığı açıklamasında, “vaka sayısı” ifadesinin sadece semptomatik vakaları, yani “hasta sayısı”nı ifade ettiği, asemptomatik vakaları kapsamadığı ifade edilmiştir. Bu tanıma istinaden 2 Ekim 2020 itibariyle TURCOVID19 içeriklerinde Türkiye verilerine yönelik “vaka” ifadesi “hasta” ifadesi ile değiştirilmiştir.",25.03.2020,2.433,561,59,15,,,33.004,5.035,,,
8,Sorumluluk Reddi,26.03.2020,3.629,1.196,75,16,0,0,40.290,7.286,,,
,Veri setindeki olası hataların / eksikliklerin kontrol sorumluluğu kullanıcılara aittir.,27.03.2020,5.698,2.069,92,17,42,42,47.823,7.533,344,241,
,TURCOVID19 veri setinin kullanımından kaynaklanabilecek her türlü maddi ve manevi zararların sorumluluğunu reddeler.,28.03.2020,7.402,1.704,108,16,70,28,55.464,7.641,445,309,
9,TURCOVID19 Hakkında,29.03.2020,9.217,1.815,131,23,105,35,65.446,9.982,568,394,
,https://turcovid19.com/hakkimizda/,30.03.2020,10.827,1.610,168,37,162,57,76.981,11.535,725,523,
10,Geri Bildirim,31.03.2020,13.531,2.704,214,46,243,81,92.403,15.422,847,622,
,https://turcovid19.com/iletisim/,01.04.2020,15.679,2.148,277,63,333,90,106.799,14.396,979,692,
11,"Kullanım Hakları, Lisans ve Atıf",02.04.2020,18.135,2.456,356,79,415,82,125.556,18.757,1.101,783,
,Veri setinin kullanım hakları TURCOVID19'a aittir,03.04.2020,20.921,2.786,425,69,484,69,141.716,16.160,1.251,867,
,"Bu veri seti,  CC BY-NC-ND 4.0 lisansı ile lisanslanmıştır. ",04.04.2020,23.934,3.013,501,76,786,302,161.380,19.664,1.311,909,
,Atıf yapmak koşuluyla kullanım ve paylaşıma açıktır. ,05.04.2020,27.069,3.135,574,73,1.042,256,181.445,20.065,1.381,935,
12,Atıf,06.04.2020,30.217,3.148,649,75,1.326,284,202.845,21.400,1.415,966,
,"Akademik: Uçar, A , Arslan, Ş , Manap, H , Gürkan, T , Çalışkan, M , Dayıoğlu, A , Efe, H , Yılmaz, M , İbrahi̇moğlu, A , Gülteki̇n, E , Durna, R , Başar, R , Osmanoğlu, F , Ören, S . (2020). Türkiye’de Covid-19 Pandemisinin Monitörizasyonu Için Interaktif Ve Gerçek Zamanlı Bir Web Uygulaması: TURCOVID19 . Anatolian Clinic the Journal of Medical Sciences , 25 (Special Issue on COVID 19) , 154-155 . DOI: 10.21673/anadoluklin.726347",07.04.2020,34.109,3.892,725,76,1.582,256,222.868,20.023,1.474,987,
,"Web: <div>Kaynak: <a title=""TURCOVID19"" href=""https://turcovid19.com"">turcovid19.com</a></div>",08.04.2020,38.226,4.117,812,87,1.846,264,247.768,24.900,1.492,995,
,Basılı görseller: turcovid19.com,09.04.2020,42.282,4.056,908,96,2.142,296,276.346,28.578,1.552,1.017,
,Video: turcovid19.com,10.04.2020,47.029,4.747,1.006,98,2.423,281,307.210,30.864,1.667,1.062,
,,11.04.2020,52.167,5.138,1.101,95,2.965,542,340.380,33.170,1.626,1.021,
,,12.04.2020,56.956,4.789,1.198,97,3.446,481,376.100,35.720,1.665,978,
,,13.04.2020,61.049,4.093,1.296,98,3.957,511,410.556,34.456,1.786,1.063,
,,14.04.2020,65.111,4.062,1.403,107,4.799,842,443.626,33.070,1.809,1.087,
,,15.04.2020,69.392,4.281,1.518,115,5.674,875,477.716,34.090,1.820,1.052,
,,16.04.2020,74.193,4.801,1.643,125,7.089,1.415,518.143,40.427,1.854,1.040,
,,17.04.2020,78.546,4.353,1.769,126,8.631,1.542,558.413,40.270,1.845,1.014,
,,18.04.2020,82.329,3.783,1.890,121,10.453,1.822,598.933,40.520,1.894,1.054,
